type;repertoire;nom;lien;id;qte;rel_url;taille
d;/sites/team/achats/industrial/Archives;"4220020684 - TECHNIP - Inca 2 Chine";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020684%20-%20TECHNIP%20-%20Inca%202%20Chine";3;b58b67e9-e83d-4fdb-a23c-0185edd6ebfc;/sites/team/achats/industrial/Archives/4220020684%20-%20TECHNIP%20-%20Inca%202%20Chine
f;/sites/team/achats/industrial/Archives/4220020684 - TECHNIP - Inca 2 Chine;"Commande 4220020684 TECHNIP LYON.pdf";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020684%20-%20TECHNIP%20-%20Inca%202%20Chine/Commande%204220020684%20TECHNIP%20LYON.pdf";1;d9cf1610-41af-4b67-b2b9-38b114555f71;/sites/team/achats/industrial/Archives/4220020684%20-%20TECHNIP%20-%20Inca%202%20Chine/Commande%204220020684%20TECHNIP%20LYON.pdf;444688
f;/sites/team/achats/industrial/Archives/4220020684 - TECHNIP - Inca 2 Chine;"Technip DA Nanjing 140.pdf";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020684%20-%20TECHNIP%20-%20Inca%202%20Chine/Technip%20DA%20Nanjing%20140.pdf";1;055cecf5-8e5b-4cd3-b972-be1e9be35c1d;/sites/team/achats/industrial/Archives/4220020684%20-%20TECHNIP%20-%20Inca%202%20Chine/Technip%20DA%20Nanjing%20140.pdf;215700
d;/sites/team/achats/industrial/Archives/4220020684 - TECHNIP - Inca 2 Chine;"Draft";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020684%20-%20TECHNIP%20-%20Inca%202%20Chine/Draft";1;e1490dff-d98f-4fdd-8355-6a8699b802bb;/sites/team/achats/industrial/Archives/4220020684%20-%20TECHNIP%20-%20Inca%202%20Chine/Draft
f;/sites/team/achats/industrial/Archives/4220020684 - TECHNIP - Inca 2 Chine/Draft;"INCA 2 - Fiche 61411B-FDP005.pdf";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020684%20-%20TECHNIP%20-%20Inca%202%20Chine/Draft/INCA%202%20-%20Fiche%2061411B-FDP005.pdf";1;7f5efdfa-77e8-4e8f-877f-24fecbe041d5;/sites/team/achats/industrial/Archives/4220020684%20-%20TECHNIP%20-%20Inca%202%20Chine/Draft/INCA%202%20-%20Fiche%2061411B-FDP005.pdf;180088
d;/sites/team/achats/industrial/Archives;"4220020709 - SECAUTO - Filtration MES - lot electricite";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite";12;932c69d5-cbae-4076-8b0d-02a438224a19;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite
f;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite;"AO.zip";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO.zip";1;a2681a15-e9ef-4456-b02a-472643c8d48c;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO.zip;3772068
f;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite;"liste fournisseurs.txt";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/liste%20fournisseurs.txt";1;bfce84f7-3977-402d-889d-c5ed5748f3c5;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/liste%20fournisseurs.txt;505
f;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite;"ADISSEO Les Roches - Appels d'offres - Lot électricité projet filtration MES.msg";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/ADISSEO%20Les%20Roches%20-%20Appels%20d%27offres%20-%20Lot%20%C3%A9lectricit%C3%A9%20projet%20filtration%20MES.msg";1;095b89d4-517b-4643-9a4f-c6f1f02f47af;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/ADISSEO%20Les%20Roches%20-%20Appels%20d%27offres%20-%20Lot%20%C3%A9lectricit%C3%A9%20projet%20filtration%20MES.msg;3843584
f;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite;"validation commande.msg";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/validation%20commande.msg";1;0df24a7b-302e-4c43-8e0c-cec754325b2c;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/validation%20commande.msg;63488
f;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite;"comparatif.pdf";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/comparatif.pdf";1;2ee40cae-31d2-4082-a60e-e9d052f347dc;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/comparatif.pdf;154035
d;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite;"actemium";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/actemium";0;78b4acbe-854a-4360-9218-326006eca291;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/actemium
d;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite;"secauto";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/secauto";3;28624935-5479-4afe-a933-35484dbd44a7;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/secauto
f;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite/secauto;"ADISSEO Les Roches   Commande 4220020709 - Prestations d'électricité projet filtration MES  atelier H2SO4.msg";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/secauto/ADISSEO%20Les%20Roches%20%20%20Commande%204220020709%20-%20Prestations%20d%27%C3%A9lectricit%C3%A9%20projet%20filtration%20MES%20%20atelier%20H2SO4.msg";1;81dd22b7-1d82-4b46-a06e-58c5ddf80a88;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/secauto/ADISSEO%20Les%20Roches%20%20%20Commande%204220020709%20-%20Prestations%20d%27%C3%A9lectricit%C3%A9%20projet%20filtration%20MES%20%20atelier%20H2SO4.msg;182784
d;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite/secauto;"V1";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/secauto/V1";1;ddabd458-c707-47e2-b206-79e1f8fa1515;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/secauto/V1
f;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite/secauto/V1;"TRAVAUX ELEC FILTRATION MES.msg";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/secauto/V1/TRAVAUX%20ELEC%20FILTRATION%20MES.msg";1;3a6ec085-cbb2-4e71-9795-681d233bee24;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/secauto/V1/TRAVAUX%20ELEC%20FILTRATION%20MES.msg;377344
d;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite/secauto;"V2";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/secauto/V2";0;4ef9b6b0-06a2-4e0b-bfe2-b67570de0844;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/secauto/V2
d;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite;"AO";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO";9;c42348f6-a4fa-4ad1-968c-41ecba9ee82c;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO
f;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite/AO;"principe cablage variateur.pdf";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO/principe%20cablage%20variateur.pdf";1;43a66d6f-bfda-4184-8752-0ec38c1ed9dd;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO/principe%20cablage%20variateur.pdf;237910
f;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite/AO;"MES Plan guide charpente metallique.pdf";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO/MES%20Plan%20guide%20charpente%20metallique.pdf";1;6570be96-97e5-4b97-bdad-4f9ad5bdf412;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO/MES%20Plan%20guide%20charpente%20metallique.pdf;613037
f;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite/AO;"consignes sécurité Adisseo 2014.zip";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO/consignes%20s%C3%A9curit%C3%A9%20Adisseo%202014.zip";1;9c07da37-6afd-49e6-9d43-6b2eeb36af7c;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO/consignes%20s%C3%A9curit%C3%A9%20Adisseo%202014.zip;502560
f;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite/AO;"consignes sécurité plateforme 2012.zip";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO/consignes%20s%C3%A9curit%C3%A9%20plateforme%202012.zip";1;f6412f34-8285-4f51-a447-6c78c588df42;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO/consignes%20s%C3%A9curit%C3%A9%20plateforme%202012.zip;1841062
f;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite/AO;"eclairage.pdf";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO/eclairage.pdf";1;16eb7056-e73f-4a43-88f0-804f03d41232;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO/eclairage.pdf;225542
f;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite/AO;"cheminements.pdf";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO/cheminements.pdf";1;0efa2c60-c323-4356-8992-a7c600272b07;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO/cheminements.pdf;98710
f;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite/AO;"fdf1.pdf";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO/fdf1.pdf";1;0caf82b1-8f41-4c50-bba4-c832782da451;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO/fdf1.pdf;122529
f;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite/AO;"Lettre AO MT.doc";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO/Lettre%20AO%20MT.doc";1;71a9053c-cae4-4122-99ea-df9e52fc17f3;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO/Lettre%20AO%20MT.doc;198656
f;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite/AO;"CCP trx elec fitration MES.doc";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO/CCP%20trx%20elec%20fitration%20MES.doc";1;9b91203b-9642-4fe9-8b25-ef3bab28965b;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/AO/CCP%20trx%20elec%20fitration%20MES.doc;491008
d;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite;"dmr";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/dmr";0;16e33543-fc21-4713-8766-5286c59e6d49;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/dmr
d;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite;"ineo";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/ineo";1;4938f795-a588-40c3-b2cb-6ffe30de9e88;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/ineo
f;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite/ineo;"Offre inéo   Projet Filtration MES Lot Electricité.msg";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/ineo/Offre%20in%C3%A9o%20%20%20Projet%20Filtration%20MES%20Lot%20Electricit%C3%A9.msg";1;d183cdca-e20e-49e0-8593-3c7bdf3cd0d0;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/ineo/Offre%20in%C3%A9o%20%20%20Projet%20Filtration%20MES%20Lot%20Electricit%C3%A9.msg;738304
d;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite;"cote";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/cote";2;a3a57117-0160-4c4a-b0ae-8bc3ad220070;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/cote
d;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite/cote;"V2";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/cote/V2";0;fa65bcbb-43e7-4f53-b07f-017a06b00938;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/cote/V2
d;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite/cote;"V1";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/cote/V1";0;2b430338-ec59-4d0b-9470-1e4be705e513;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/cote/V1
d;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite;"soteb";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/soteb";1;22e00ede-84e4-448b-87bb-aa3525b7292a;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/soteb
f;/sites/team/achats/industrial/Archives/4220020709 - SECAUTO - Filtration MES - lot electricite/soteb;"devis travaux elec filtration MES.msg";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/soteb/devis%20travaux%20elec%20filtration%20MES.msg";1;05ea4ec0-447e-4392-be57-c17584fc052a;/sites/team/achats/industrial/Archives/4220020709%20-%20SECAUTO%20-%20Filtration%20MES%20-%20lot%20electricite/soteb/devis%20travaux%20elec%20filtration%20MES.msg;209408
d;/sites/team/achats/industrial/Archives;"4210064018 - AI2C - RON";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4210064018%20-%20AI2C%20-%20RON";4;4b63d705-ff2b-44af-846d-03e982dc3609;/sites/team/achats/industrial/Archives/4210064018%20-%20AI2C%20-%20RON
f;/sites/team/achats/industrial/Archives/4210064018 - AI2C - RON;"ADISSEO ROUSSILLON - Commande 4210064018 .msg";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4210064018%20-%20AI2C%20-%20RON/ADISSEO%20ROUSSILLON%20-%20Commande%204210064018%20.msg";1;851103c3-52b1-4ce9-aa06-6be54be5adec;/sites/team/achats/industrial/Archives/4210064018%20-%20AI2C%20-%20RON/ADISSEO%20ROUSSILLON%20-%20Commande%204210064018%20.msg;221696
f;/sites/team/achats/industrial/Archives/4210064018 - AI2C - RON;"DA à passer.msg";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4210064018%20-%20AI2C%20-%20RON/DA%20%C3%A0%20passer.msg";1;75e7b922-9278-4cbc-95cd-7195ae22f27c;/sites/team/achats/industrial/Archives/4210064018%20-%20AI2C%20-%20RON/DA%20%C3%A0%20passer.msg;206848
f;/sites/team/achats/industrial/Archives/4210064018 - AI2C - RON;"Commande 4210064018 AI2C.msg";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4210064018%20-%20AI2C%20-%20RON/Commande%204210064018%20AI2C.msg";1;bf613cc7-942f-4480-9903-c4edc0e878d6;/sites/team/achats/industrial/Archives/4210064018%20-%20AI2C%20-%20RON/Commande%204210064018%20AI2C.msg;163328
f;/sites/team/achats/industrial/Archives/4210064018 - AI2C - RON;"Re  ADISSEO ROUSSILLON - Commande 4210064018.msg";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4210064018%20-%20AI2C%20-%20RON/Re%20%20ADISSEO%20ROUSSILLON%20-%20Commande%204210064018.msg";1;7545ec40-e483-46ad-9f56-f99d74b9b845;/sites/team/achats/industrial/Archives/4210064018%20-%20AI2C%20-%20RON/Re%20%20ADISSEO%20ROUSSILLON%20-%20Commande%204210064018.msg;522240
d;/sites/team/achats/industrial/Archives;"4220021244 - TECHNIP - ODG Degoulottage Europe - BGS ROR";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220021244%20-%20TECHNIP%20-%20ODG%20Degoulottage%20Europe%20-%20BGS%20ROR";7;3272c77d-861c-4983-896a-04051519ad88;/sites/team/achats/industrial/Archives/4220021244%20-%20TECHNIP%20-%20ODG%20Degoulottage%20Europe%20-%20BGS%20ROR
f;/sites/team/achats/industrial/Archives/4220021244 - TECHNIP - ODG Degoulottage Europe - BGS ROR;"RE  Validation Commande 4220021244 TECHNIP.msg";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220021244%20-%20TECHNIP%20-%20ODG%20Degoulottage%20Europe%20-%20BGS%20ROR/RE%20%20Validation%20Commande%204220021244%20TECHNIP.msg";1;68baf27d-9fd7-45da-88fd-36e984f2986a;/sites/team/achats/industrial/Archives/4220021244%20-%20TECHNIP%20-%20ODG%20Degoulottage%20Europe%20-%20BGS%20ROR/RE%20%20Validation%20Commande%204220021244%20TECHNIP.msg;101376
f;/sites/team/achats/industrial/Archives/4220021244 - TECHNIP - ODG Degoulottage Europe - BGS ROR;"RE  Validation Commande 4220021244 TECHNIP.RORLT-J9RX3R1.msg";"https://adisseo.sharepoint.com/sites/team/achats/industrial/Archives/4220021244%20-%20TECHNIP%20-%20ODG%20Degoulottage%20Europe%20-%20BGS%20ROR/RE%20%20Validation%20Commande%204220021244%20TECHNIP.RORLT-J9RX3R1.msg";1;47f481a5-e333-4b50-a105-6a72c50246f0;/sites/team/achats/industrial/Archives/4220021244%20-%20TECHNIP%20-%20ODG%20Degoulottage%20Europe%20-%20BGS%20ROR/RE%20%20Validation%20Commande%204220021244%20TECHNIP.RORLT-J9RX3R1.msg;101376
